Time	Ch0	Gen
0.0002584	-0.001109969	0.9487197
0.0002588	-0.001109969	0.9487197
0.0002592	-0.001109969	0.9487197
0.0002596	-0.04307352	0.9487197
0.00026	-0.001109969	0.9487197
0.0002604	-0.001109969	0.9487197
0.0002608	-0.08503706	0.9487197
0.0002612	-0.08503706	0.9487197
0.0002616	-0.04307352	0.9055932
0.000262	-0.08503706	0.9055932
0.0002624	-0.08503706	0.9918462
0.0002628	-0.08503706	0.9055932
0.0002632	-0.1270006	0.9055932
0.0002636	-0.1270006	0.9055932
0.000264	-0.1270006	0.9055932
0.0002644	-0.1270006	0.9055932
0.0002648	-0.1689642	0.8624667
0.0002652	-0.1689642	0.8624667
0.0002656	-0.1689642	0.8624667
0.000266	-0.1689642	0.8624667
0.0002664	-0.1689642	0.8193401
0.0002668	-0.1689642	0.8624667
0.0002672	-0.2109277	0.8624667
0.0002676	-0.2109277	0.8624667
0.000268	-0.2109277	0.8193401
0.0002684	-0.2109277	0.8624667
0.0002688	-0.2528913	0.8624667
0.0002692	-0.2528913	0.8193401
0.0002696	-0.2528913	0.8193401
0.00027	-0.2528913	0.7762136
0.0002704	-0.2948548	0.7762136
0.0002708	-0.2948548	0.7762136
0.0002712	-0.2948548	0.7762136
0.0002716	-0.2948548	0.7762136
0.000272	-0.2948548	0.7762136
0.0002724	-0.3368183	0.7762136
0.0002728	-0.3368183	0.7762136
0.0002732	-0.3368183	0.7762136
0.0002736	-0.3368183	0.7762136
0.000274	-0.3368183	0.7762136
0.0002744	-0.3368183	0.7762136
0.0002748	-0.3787819	0.7762136
0.0002752	-0.3787819	0.7330871
0.0002756	-0.4207454	0.7330871
0.000276	-0.4207454	0.7330871
0.0002764	-0.4207454	0.7330871
0.0002768	-0.462709	0.6899606
0.0002772	-0.462709	0.7330871
0.0002776	-0.462709	0.7330871
0.000278	-0.462709	0.6899606
0.0002784	-0.5046725	0.646834
0.0002788	-0.5046725	0.6899606
0.0002792	-0.5046725	0.6899606
0.0002796	-0.5046725	0.646834
0.00028	-0.5046725	0.646834
0.0002804	-0.5046725	0.646834
0.0002808	-0.5046725	0.646834
0.0002812	-0.5046725	0.6037075
0.0002816	-0.5466361	0.646834
0.000282	-0.5466361	0.6037075
0.0002824	-0.5466361	0.6037075
0.0002828	-0.5885996	0.6037075
0.0002832	-0.5885996	0.6037075
0.0002836	-0.5885996	0.6037075
0.000284	-0.5885996	0.6037075
0.0002844	-0.5885996	0.6037075
0.0002848	-0.6305632	0.6037075
0.0002852	-0.5885996	0.6037075
0.0002856	-0.6305632	0.560581
0.000286	-0.6305632	0.560581
0.0002864	-0.6305632	0.560581
0.0002868	-0.6305632	0.560581
0.0002872	-0.6725267	0.560581
0.0002876	-0.6725267	0.560581
0.000288	-0.6725267	0.560581
